id,Name,Address,Zip_Code,Market_Type_id
1,SAVE-A-LOT,"250 MCMECHEN st
Baltimore, MD
",21217,
2,ALDI,"3601 COLD SPRING LN
Baltimore, MD
",21215,
3,ALDI     (A.K.A. 3000 ATCO AVENUE),"3140 WASHINGTON BLVD
Baltimore, MD
",21230,
4,SAVE A LOT OF FELLS  POINT,"517 BROADWAY
Baltimore, MD
",21231,
5,"SAFEWAY, INC.","2401 CHARLES ST
Baltimore, MD
",21218,
6,"SANTONI'S, INC.","3800 LOMBARD ST
Baltimore, MD
",21224,
7,SHOPPERS FOOD & PHARMACY # 7567,"6500 EASTERN AVE
Baltimore, MD
",21224,
8,SAVE-ON-FOOD SUPERMARKET,"413 PATAPSCO AVE
Baltimore, MD
",21225,
9,GIANT FOOD STORE # 317,"4624 EDMONDSON AVE
Baltimore, MD
",21229,
10,"STOP, SHOP & SAVE","1400 MONROE ST
Baltimore, MD
",21217,
11,STOP-SHOP & SAVE,"1101 PENNSYLVANIA AVE
Baltimore, MD
",21201,
12,SAM'S CLUB # 4771,"2601 PORT COVINGTON dr
Baltimore, MD
",21230,
13,STOP-SHOP & SAVE,"1600 HARFORD AVE
Baltimore, MD
",21202,
14,"ALDI,  INC.","3250 FAYETTE ST
Baltimore, MD
",21224,
15,SAFEWAY   (STORE #1481),"2610 BOSTON ST
Baltimore, MD
",21224,
16,GIANT FOOD STORE #124,"711 40TH ST
Baltimore, MD
",21211,
17,SUPERFRESH,"1020 41ST ST
Baltimore, MD
",21211,
18,GIANT FOODS #303,"601 33RD ST
Baltimore, MD
",21218,
19,SAVE-A-LOT,"4001 ERDMAN AVE
Baltimore, MD
",21213,
20,WHOLE FOODS MARKET,"1330 SMITH AVE
Baltimore, MD
",21209,
21,STOP SHOP SAVE FOOD MARKET,"5600 THE
Baltimore, MD
",21239,
22,MARS SUPER MARKETS INC.,"1700 NORTHERN PKWY
Baltimore, MD
",21239,
23,"STOP, SHOP & SAVE","929 CAROLINE ST
Baltimore, MD
",21205,
24,BAINES STOP SHOP & SAVE #04,"2701 COLD SPRING LN
Baltimore, MD
",21215,
25,"SAFEWAY STORES, INC. #1153","1205 PRATT ST
Baltimore, MD
",21223,
26,GIANT FOOD STORE #145,"5150 SINCLAIR LN
Baltimore, MD
",21206,
27,BI-RITE,"5950 BELAIR RD
Baltimore, MD
",21206,
28,EDDIE'S SUPERMARKET,"3117 ST PAUL ST
Baltimore, MD
",21218,
29,SUPER FRESH FOOD MARKETS #813,"2495 FREDERICK AVE
Baltimore, MD
",21223,
30,FOOD KING SUPERMARKET,"3400 ANNAPOLIS RD
Baltimore, MD
",21227,
31,SAVE-A-LOT,"717 WASHINGTON BLVD
Baltimore, MD
",21230,
32,FOOD KING SUPERMARKET,"5700 WABASH AVE
Baltimore, MD
",21215,
33,"STOP, SHOP & SAVE","2301 LIBERTY HEIGHTS AVE
Baltimore, MD
",21215,
34,"STOP, SHOP & SAVE","3427 CLIFTON AVE
Baltimore, MD
",21216,
35,SAVE-A-LOT,"6836 REISTERSTOWN RD
Baltimore, MD
",21215,
36,SAVE-A-LOT,"2008 MARYLAND AVE
Baltimore, MD
",21218,
37,"SAFEWAY, INC. # 1513","4401 HARFORD RD
Baltimore, MD
",21214,
38,EDDIE'S SUPER MARKET,"5113 ROLAND AVE
Baltimore, MD
",21210,
39,SAVE-A-LOT,"1500 HAVENWOOD
Baltimore, MD
",21218,
40,WHOLE FOODS MARKET,"1001 FLEET ST
Baltimore, MD
",21202,
41,FOOD KING,"5830 HILLEN RD
Baltimore, MD
",21239,
42,GIANT FOOD # 397,"6620 REISTERSTOWN RD
Baltimore, MD
",21215,
43,HIGHLANDTOWN  GROCERY  &  DELI,"19 HIGHLAND AVE
Baltimore, MD
",21224,
44,SHOPPERS,"900 Fort Ave
Baltimore, MD
",21230,
