id,Type
1,Limited Supermarket
2,Limited Supermarket
3,Limited Supermarket
4,Limited Supermarket
5,Full Supermarket
6,Small Supermarket
7,Full Supermarket
8,Limited Supermarket
9,Full Supermarket
10,Limited Supermarket
11,Limited Supermarket
12,Limited Supermarket
13,Limited Supermarket
14,Limited Supermarket
15,Full Supermarket
16,Full Supermarket
17,Full Supermarket
18,Full Supermarket
19,Limited Supermarket
20,Full Supermarket
21,Limited Supermarket
22,Small Supermarket
23,Limited Supermarket
24,Limited Supermarket
25,Full Supermarket
26,Full Supermarket
27,Limited Supermarket
28,Small Supermarket
29,Full Supermarket
30,Small Supermarket
31,Limited Supermarket
32,Small Supermarket
33,Limited Supermarket
34,Limited Supermarket
35,Limited Supermarket
36,Limited Supermarket
37,Full Supermarket
38,Small Supermarket
39,Limited Supermarket
40,Full Supermarket
41,Small Supermarket
42,Full Supermarket
43,Small Supermarket
44,Full Supermarket
