id,Name,Address,Seating
1,AT&T Stadium,"1 AT&T Way, Arlington, TX 76011","80,000"
2,Arrowhead Stadium,"1 Arrowhead Dr, Kansas City, MO 64129","76,416"
3,Bank of America Stadium,"800 S Mint St, Charlotte, NC 28202","75,412"
4,CenturyLink Field,"800 Occidental Ave S, Seattle, WA 98134","67,000"
5,"EverBank Field
","1 Everbank Field Dr, Jacksonville, FL 32202
","67,164"
6,FedExField,"1600 Fedex Way, Greater Landover, MD 20785","79,000"
7,FirstEnergy Stadium,"100 Alfred Lerner Way, Cleveland, OH 44114","73,200"
8,Ford Field,"2000 Brush St, Detroit, MI 48226","65,000"
9,Georgia Dome,"1 Georgia Dome Dr, Atlanta, GA 30313","71,228"
10,Gillette Stadium,"1 Patriot Pl, Foxborough, MA 02035","68,756"
11,Heinz Field,"100 Art Rooney Ave, Pittsburgh, PA 15212","65,050"
12,Lambeau Field,"1265 Lombardi Ave, Green Bay, WI 54304","80,735"
13,Levi's Stadium,"4900 Marie P DeBartolo Way, Santa Clara, CA 95054","68,500"
14,Lincoln Financial Field,"1 Lincoln Financial Field Way, Philadelphia, PA 19147","69,176"
15,Lucas Oil Stadium,"500 S Capitol Ave, Indianapolis, IN 46225","70,000"
16,M&T Bank Stadium,"1101 Russell St, Baltimore, MD 21230","71,008"
17,Mercedes-Benz Superdome,"1500 Sugar Bowl Dr, New Orleans, LA 70112","76,468"
18,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
19,NRG Stadium,"Reliant Pkwy, Houston, TX 77054","71,500"
20,Nissan Stadium,"1 Titans Way, Nashville, TN 37213","69,143"
21,O.co Coliseum,"7000 Coliseum Way, Oakland, CA 94621","63,132"
22,Paul Brown Stadium,"1 Paul Brown Stadium, Cincinnati, OH 45202","65,535"
23,Qualcomm Stadium,"9449 Friars Rd, San Diego, CA 92108","70,561"
24,Ralph Wilson Stadium,"1 Bills Dr, Orchard Park, NY 14127","71,870"
25,Raymond James Stadium,"4201 N Dale Mabry Hwy, Tampa, FL 33607","65,890"
26,Soldier Field,"1410 Museum Campus Dr, Chicago, IL 60605","61,500"
27,Sports Authority Field at Mile High,"1701 Bryant St, Denver, CO 80204","76,125"
28,Sun Life Stadium,"347 Don Shula Dr, Miami Gardens, FL 33056","76,100"
29,TCF Bank Stadium,"420 SE 23rd Avenue 
Minneapolis, Minnesota 55455","52,525"
30,The Dome at America's Center,"701 Convention Plaza 
St. Louis, Missouri, United States 63101","66,000"
31,University of Phoenix Stadium,"1 Cardinals Dr, Glendale, AZ 85305","63,400"
32,Wembley Stadium,"Wembley, London HA9 0WS, United Kingdom","86,000"
